CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,
-7.07758093,0.635442336,-1.414526894,0.78159615,1.422767179,-0.749252403,-2.166311394,3.431201286,-0.040385777,-0.079140929,0.211497192,-0.921722257,-2.673636104,-0.115027069,-1.123773986,-0.012819376,-0.114224045,0.139072417,0.151245888,0.062516228,0.222899631,-0.130574737,-0.044423035,-0.018969374,-0.092633682,1.519492253,-0.82165981,-2.5925746,-0.08494746,#DIV/0!,1.110857015,-0.329776539,-0.71405759,-0.260926514,pre
3.233008385,0.552556766,0.245573628,0.290715272,0.692988436,-1.349799892,-1.987768006,1.466865852,-0.33100143,-0.107393596,-0.052552389,-0.893916793,-2.674056126,-1.077373576,-0.868704599,-0.180445154,-0.117948612,-0.189900476,-0.011563949,0.180506556,-0.050823374,-0.088580747,-0.047939119,-0.047982453,-0.088285784,0.44958464,-0.368970564,#DIV/0!,0.372806818,#DIV/0!,-0.136380521,-0.462240468,0.786981103,1.387683139,pre
12.42318392,1.407634258,1.134270167,0.491743124,0.463705372,-1.494668967,-1.226429671,0.472889318,-0.466121471,-0.111628628,-0.069070952,-0.994810658,-2.785785912,-1.066179336,-1.467715585,-0.280638398,-0.198588684,0.016740528,0.054974347,-0.034886658,0.032358307,-0.206205368,-0.086275128,-0.070964558,-0.103811815,0.623262932,-0.135691448,-7.95303106,-0.058295043,#DIV/0!,-0.021703722,-0.157161486,-1.50863632,-1.581820519,pre
6.94035244,2.744283757,2.271724683,1.182482012,2.388708007,-0.939582175,-1.390475643,2.422629199,-0.278736432,-0.098532712,-0.051636115,-0.896753042,-2.628156971,-0.487228644,-0.837070703,-0.002812458,-0.000681071,0.067669506,0.1663992,-0.006131184,0.186066708,-0.199489166,-0.127031795,-0.023998714,-0.0949679,0.501617678,0.085318899,-13.69241333,-0.160398224,#DIV/0!,1.334094924,0.251276117,0.802872718,0.741010067,pre
9.28059435,0.976459104,2.101154013,0.486090682,1.064184711,-0.719609961,-0.259418554,3.023611236,-0.187463454,-0.10274641,-0.039039492,-0.96900124,-2.72226634,0.155271125,-1.365250611,-0.227756422,-0.242748721,-0.010392233,0.029207424,-0.051765057,-0.018552222,-0.234644146,-0.128755881,-0.043437147,-0.101325467,0.447967728,-0.256164715,-2.196916223,-0.40379877,#DIV/0!,-0.628882795,0.13606543,0.100651323,-0.140961908,pre
7.46083546,2.920127278,0.533053922,0.370592547,1.019145426,-1.111481805,-1.180541633,2.368144095,-0.215955256,-0.105246487,-0.125009476,-0.970200056,-2.798956727,-0.126029426,-1.093893271,-0.157832625,-0.14835951,-0.16629035,-0.053967291,0.032935143,-0.0916041,-0.198823076,-0.135306876,-0.086370801,-0.142993056,1.098436303,-0.66202722,#DIV/0!,0.112771402,#DIV/0!,0.978700631,-0.133512851,2.994983277,0.88253596,pre
8.603006365,1.152416592,1.058797012,0.675385977,0.83369836,-0.901020275,-0.624573212,0.959808141,-0.307303536,-0.10613454,0.077237476,-0.955674297,-2.703149462,-0.410983618,-1.126682232,-0.263071867,-0.223850987,-0.076440318,-0.001029185,-0.043344956,0.014106341,-0.225062809,-0.126558583,-0.092222348,-0.132017004,0.103666845,-0.225929082,-4.82460976,-0.014589076,#DIV/0!,-0.057085965,0.109795156,-4.01702595,-0.382548936,pre
7.46083546,2.424180592,-0.131424856,0.600510248,1.255601802,-0.989618894,-0.805354655,1.614209242,-0.304860368,-0.101027897,-0.266895858,-0.956165004,-2.71270821,-0.26122418,-1.077643958,-0.147589555,-0.160265391,-0.122172396,-0.068987457,-0.109888309,-0.068898926,-0.300168669,-0.151603459,-0.062865415,-0.107933289,0.986794706,-0.284502113,-5.54579719,-0.275429407,#DIV/0!,-0.229504937,-0.163567165,-6.27761889,1.520548501,pre
7.46083546,1.184483892,1.232273802,0.687215328,1.640710093,-1.79421387,-3.002829467,1.828218996,-0.652159735,-0.105230687,-0.293943306,-0.98204435,-2.745605372,-0.479547013,-1.220414852,-0.301554443,-0.272273945,-0.043814451,0.040052659,-0.042244812,0.069342591,-0.211427146,-0.134284556,-0.054069957,-0.122901039,0.332281114,-0.197373004,-5.876722146,0.283689452,#DIV/0!,0.447010529,0.378380392,-7.93309951,0.63286229,pre
#DIV/0!,1.060942264,-0.021283323,0.947308608,1.031007002,-1.1194902,-0.720005271,-1.431579978,-0.19317996,-0.10980866,-0.32767148,-0.947662021,-2.710323452,-1.122822411,-1.030621805,-0.186025816,-0.17252105,-0.049136002,0.052020183,-0.073889693,-0.001365683,-0.263790542,-0.12317562,-0.018662551,-0.092133492,0.332281114,-0.956520217,-4.411584858,-0.041025241,#DIV/0!,-0.063217643,0.215450422,-6.109565657,-0.47898237,pre
