CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,
0.5423975,0.380216451,0.235892287,0.127106777,-0.073822138,0.040808341,0.043009135,-0.104292612,-0.004894867,-0.100394752,-0.071603517,-0.024096447,0.00367027,0.178827301,-0.100211506,-0.078563349,0.729094494,0.035308338,0.014396818,0.251028914,-0.119219012,-0.18327494,-0.234986719,-0.032954373,0.018482156,-0.971262231,1.204635,-0.581254997,#DIV/0!,#DIV/0!,0.244220193,0.137697363,0.361637784,-0.602621297,pre
-1.923252583,-1.012173625,0.092499781,0.02215937,0.688579175,0.07374719,0.057369464,-0.09927525,0.024785494,-0.095959376,-0.041504027,-0.019812561,0.027648856,0.121149918,-0.101280043,-0.115223165,0.498125885,-0.022125679,-0.025516716,0.017435706,-0.16663258,-0.180851599,-0.205460906,-0.034716694,0.040771351,-0.999973529,2.757215916,-0.572248162,#DIV/0!,#DIV/0!,0.062294447,0.390855508,-0.77074321,-0.743977787,pre
0.5423975,-1.106764487,0.120983138,0.193609668,0.662210803,0.005317058,0.041640341,-0.086949267,0.003748136,-0.08696331,0.004927574,-0.003014265,0.079344429,0.214812078,-0.087995858,-0.091780151,0.63953444,-0.045920591,0.066164421,0.053559336,-0.170368547,-0.17356354,-0.213734342,-0.068903127,-0.005520287,-1.161929471,1.393776764,-0.501227693,#DIV/0!,#DIV/0!,0.005805688,0.209134098,-0.560252284,0.309793334,pre
1.13140905,1.525866374,-0.02428258,0.00546969,-0.281945497,0.040335433,0.050673815,-0.078004463,0.016832527,-0.085725424,-0.078179122,-0.02923798,-0.007218851,0.305597241,-0.130620971,-0.066371414,0.480483073,-0.042485545,-0.94415433,-0.077768265,-0.176835011,-0.198736143,-0.230243822,-0.051127531,-0.003737019,-1.02387076,1.296601878,-0.53925163,#DIV/0!,#DIV/0!,1.096760375,0.802474477,-0.09930725,-1.496031255,pre
2.974392256,0.581048938,0.171310406,-0.032213485,0.113572883,-0.005053057,0.031864469,-0.06957025,-0.026708296,-0.078794909,-0.061591072,-0.008937331,0.013539152,-0.137105839,-0.080506738,-0.205070334,-0.198709721,-0.030239909,-0.112324446,0.285413703,-0.161148888,-0.218754219,-0.232940238,-0.081662721,-0.002786459,-1.078806011,1.395254401,-0.442441546,#DIV/0!,#DIV/0!,0.258319548,-0.235941527,-1.420610309,-1.056187421,pre
-0.167928625,1.11642925,0.156796363,0.186188897,0.880253077,0.149613007,0.107975947,-0.062455072,0.073880223,-0.074106213,-0.018951822,-0.005404738,0.045077909,0.085254274,-0.062033997,-0.160883125,0.151056177,-0.022053791,0.278824219,0.549458154,-0.144902792,-0.19548117,-0.200164732,-0.061375236,0.011738743,-1.127152019,1.402314547,-0.651796652,#DIV/0!,#DIV/0!,-0.027605635,0.4286286,-0.101596157,0.456113427,pre
-2.587209092,-0.556265858,0.064073482,0.157923832,0.974730239,0.107012857,0.081119818,-0.0581767,0.060670269,-0.066520209,-0.030389516,0.007922416,0.022412728,-0.319596847,-0.054359041,-0.14650868,-0.427780852,-0.095346401,-1.262757847,-0.446082226,-0.237518523,-0.185961251,-0.233148301,-0.054445968,0.005014992,-0.763181962,1.077882606,0.138030052,#DIV/0!,#DIV/0!,1.318365272,0.622647871,-3.60762691,-1.746808113,pre
-5.8615278,1.253010059,0.05849778,0.217135597,0.677796952,0.047536484,0.057458751,-0.053301806,0.021146565,-0.067218051,-0.040954556,-0.015542498,-0.035590586,-0.059938699,-0.117586723,-0.117102068,0.514391133,-0.086993192,-0.500294664,-0.290428869,-0.198723042,-0.167447412,-0.228671753,-0.056189678,0.00556717,-0.623766532,1.871462569,-0.470304257,#DIV/0!,#DIV/0!,-0.316823253,-0.018257399,-3.654000402,-0.53636092,pre
-5.536627718,0.418496773,-0.057645886,0.067832218,-0.116294749,0.056717556,0.076372925,-0.047640859,0.039746121,-0.061610328,-0.055342426,-0.001186896,0.019157217,-0.003822722,-0.059029978,-0.071997435,-0.355323994,0.043774603,0.702673807,-0.238348448,-0.05909121,-0.15219433,-0.215059076,-0.038082312,-0.017555859,-0.24959446,1.426156301,0.470738081,#DIV/0!,#DIV/0!,0.415811473,0.929229492,-2.235369158,0.203863375,pre
-4.82523309,0.220544621,-0.242472207,-0.139267428,-0.250630909,0.046412646,0.071446828,-0.038764827,0.024848628,-0.050280989,-0.008609506,0.008510202,0.026772058,-0.200062699,-0.061930963,-0.134139808,-0.64230336,-0.033399906,-0.354871312,-0.347333807,-0.164602147,-0.151656576,-0.213796774,-0.036959339,0.009527612,-0.984174538,0.709764459,-0.172798768,#DIV/0!,#DIV/0!,0.734352636,0.561032692,0.631311324,2.104147855,pre
-3.729407602,-0.939740988,-0.240822791,0.167153778,0.961389711,0.108651243,0.098302526,-0.028799012,0.032513799,-0.035837294,0.01316342,0.024683511,0.120684026,-0.041817329,-0.047754677,-0.166663968,-0.130402819,0.002410295,0.283162031,-0.030301013,-0.100779735,-0.137878405,-0.202377259,0.001727575,0.037742238,-0.484064959,1.57226875,1.677545255,#DIV/0!,#DIV/0!,0.371145939,-0.052692716,-1.292876005,0.544841581,pre
-2.20216927,1.174453034,-0.053017394,0.041577481,-0.568687735,0.122235023,0.103074744,-0.004100498,0.079560653,-0.03215581,-0.02382702,0.061805619,0.060597486,-0.10239858,0.032516931,-0.042708999,-0.606744346,0.024671292,-0.357200573,-0.87082241,-0.071488334,-0.105480215,-0.184411325,-0.004098048,0.026596038,0.28869867,0.871139359,0.19963825,#DIV/0!,#DIV/0!,1.196540906,1.325445496,-2.528817773,-0.905596192,pre
-1.73716577,1.076995637,-0.043289743,0.395673049,1.330708538,0.119231546,0.106471338,0.029231626,0.042438229,-0.03453388,-0.0138224,0.051915805,0.108049287,0.090646066,0.002259885,-0.076443855,0.267072418,-0.090886231,-1.153755205,0.085660477,-0.21737995,-0.119830507,-0.191305656,-0.02652248,0.006290169,0.525450746,1.160451691,-0.094185921,#DIV/0!,#DIV/0!,0.549944272,0.005438186,0.365894933,-0.045758201,pre
-1.401213673,0.293084054,-0.050924555,-0.071255468,-0.134847249,0.048620047,0.079227032,0.039668254,0.015436852,-0.038508801,-0.002731591,0.055503793,0.153020121,0.096680402,0.069914812,-0.030043161,0.338421574,-0.031439665,-0.453145357,0.165443546,-0.13972937,-0.12978188,-0.202864368,-0.026020934,0.009844222,0.519516364,0.972368588,0.693918691,#DIV/0!,#DIV/0!,1.460966642,0.485615096,-2.726592403,-2.123095137,pre
0.065507382,-0.051421616,-0.041523695,-0.009991053,0.219101629,0.011065346,0.049279351,-0.002399985,0.001649211,-0.036665227,0.001405329,0.029089874,0.035034938,0.137540527,0.000424571,-0.023861545,0.840082477,-0.015983141,-0.284758103,0.376279296,-0.14068298,-0.120868575,-0.201645563,-0.013374868,0.015641135,-0.009467653,0.71118303,0.828821423,#DIV/0!,#DIV/0!,0.4977036,0.117342444,-4.018272163,-1.016786669,pre
-1.956604379,-0.058329286,0.018559206,0.117831613,0.137112169,0.057474421,0.074648483,-0.025748707,0.042736891,-0.050883001,0.005485845,0.005818519,0.059233228,-0.19562034,-0.006652418,-0.081000629,-1.017635487,-0.108528366,-1.741994418,-0.106422248,-0.219991442,-0.144175895,-0.214214801,-0.052324867,-0.00702496,-0.363565145,0.822447846,-0.490396706,#DIV/0!,#DIV/0!,0.771004798,0.432171424,-0.979031503,-0.197106895,pre
